TIMESTAMP,NEXT_CLASS,GUID,INSTRUCTOR,SPOTS_REMAINING
2022-03-31 10:14:21,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,0
2022-03-31 10:36:58,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,13
2022-03-31 11:41:08,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,12
2022-03-31 13:10:23,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,10
2022-03-31 15:04:28,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,9
2022-03-31 17:30:01,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,1
2022-04-04 11:46:34,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,20
2022-04-04 12:12:52,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,19
2022-04-04 13:16:17,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,17
2022-04-04 15:15:00,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,16
2022-04-04 15:39:01,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,15
2022-04-04 18:16:52,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,14
2022-04-04 18:16:54,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,15
2022-04-04 19:43:56,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,13
2022-04-04 19:44:02,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,13
2022-04-04 19:44:06,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,8
2022-04-04 20:29:16,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,12
2022-04-04 20:29:19,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,6
2022-04-04 20:51:12,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,5
2022-04-04 21:21:56,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,12
2022-04-04 21:21:57,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,11
2022-04-04 21:22:01,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,4
2022-04-04 22:16:11,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,10
2022-04-04 22:16:19,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,2
2022-04-04 22:37:03,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,10
2022-04-04 22:37:05,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-04-04 23:46:09,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,8
2022-04-05 01:26:32,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,10
2022-04-05 06:44:17,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,8
2022-04-05 07:38:45,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,7
2022-04-05 08:19:02,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,9
2022-04-05 08:19:06,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,6
2022-04-05 08:43:07,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,8
2022-04-05 10:24:08,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,7
2022-04-05 11:46:45,2022-04-05 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,6
2022-04-05 11:46:50,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,5
2022-04-05 12:14:29,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,4
2022-04-05 12:38:29,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,3
2022-04-05 13:18:48,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,2
2022-04-05 13:18:50,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-04-05 13:39:58,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-04-05 14:13:45,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-04-05 15:39:20,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,1
2022-04-05 15:39:22,2022-04-05 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-04-05 16:39:32,2022-04-05 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,0
2022-04-05 18:19:44,2022-04-06 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,18
2022-04-05 19:45:43,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,15
2022-04-05 20:30:31,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,13
2022-04-05 21:22:10,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,10
2022-04-05 21:48:11,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,8
